id,categoryname,en,de,fr
1183,Objects,catapult,die Schleuder,le lance-pierres
1184,Objects,cigar,die Zigarre,le cigare
1185,Objects,cigarette,die Zigarette,la cigarette
1186,Objects,coffee mill,die Kaffeemühle,le moulin à café
1187,Objects,comb,der Kamm,le peigne
1188,Objects,cup,die Tasse,la tasse
1189,Objects,dish towel,das Geschirrtuch,le torchon
1190,Objects,doll,die Puppe,la poupée
1191,Objects,dwarf,der Zwerg,le nain
1192,Objects,egg cup,der Eierbecher,le coquetier
1193,Objects,electric shaver,der Elektrorasierer,le rasoir électrique
1194,Objects,fan,der Fächer,l'éventail
1195,Objects,film,der Film,la pellicule
1196,Objects,fire extinguisher,der Feuerlöscher,l'extincteur
1197,Objects,flag,die Flagge,le drapeau
1198,Objects,garbage bag,der Müllsack,le sac poubelle
1199,Objects,glass shard,die Glasscherbe,le tesson de verre
1200,Objects,glasses,die Brille,les lunettes
1201,Objects,hair dryer,der Fön,le sèche-cheveux
1202,Objects,hole,das Loch,le trou
1203,Objects,hose,der Schlauch,le tuyau
1204,Objects,iron,das Bügeleisen,le fer à repasser
1205,Objects,juice squeezer,die Saftpresse,le presse-fruits
1206,Objects,key,der Schlüssel,la clé
1207,Objects,key chain,der Schlüsselbund,le porte-clés
1208,Objects,knife,das Taschenmesser,le canif
1209,Objects,lantern,die Laterne,la lanterne
1210,Objects,lexicon,das Lexikon,le dictionnaire
1211,Objects,lid,der Deckel,le couvercle
1212,Objects,lifebuoy,der Rettungsring,la bouée de sauvetage
1213,Objects,lighter,das Feuerzeug,le briquet
1214,Objects,lipstick,der Lippenstift,le rouge à lèvres
1215,Objects,luggage,das Gepäck,les bagages
1216,Objects,magnifying glass,die Lupe,la loupe
1217,Objects,match,das Streichholz,l'allumette
1218,Objects,milk bottle,die Milchflasche,le bibieron de lait
1219,Objects,milk jug,die Milchkanne,le pot à lait
1220,Objects,miniature,die Miniatur,la miniature
1221,Objects,mirror,der Spiegel,le miroir
1222,Objects,mixer,das Rührgerät,le batteur électrique
1223,Objects,mouse trap,die Mausefalle,le piège à souris
1224,Objects,necklace,die Halskette,le collier
1225,Objects,newspaper stand,der Zeitungsständer,le kiosque à journaux
1226,Objects,pacifier,der Scher,la sucette
1227,Objects,padlock,das Vorhängeschloss,le cadenas
1228,Objects,parasol,der Sonnenschirm,le parasol
1229,Objects,passport,der Reisepass,le passeport
1230,Objects,pennant,der Wimpel,le fanion
1231,Objects,picture frame,der Bilderrahmen,le cadre
1232,Objects,pipe,die Pfeife,la pipe
1233,Objects,pot,der Topf,le pot
1234,Objects,rubber band,das Gummiband,l'élastique
1235,Objects,rubber duck,die Gummiente,le canard en caoutchouc
1236,Objects,saddle,der Fahrradsattel,la selle
1237,Objects,safety pin,die Sicherheitsnadel,l'épingle de sûreté
1238,Objects,saucer,die Untertasse,la soucoupe
1239,Objects,shoe brush,die Schuhbürste,la brosse à chaussure
1240,Objects,sieve,das Sieb,le tamis
1241,Objects,soap,die Seife,le savon
1242,Objects,soap bubble,die Seifenblase,la bulle de savon
1243,Objects,soap dish,die Seifenschale,le porte-savon
1244,Objects,sponge,der Schwamm,l'éponge
1245,Objects,sugar bowl,die Zuckerdose,le sucrier
1246,Objects,suitcase,der Koffer,la valise
1247,Objects,tape measure,das Bandmaß,le mètre ruban
1248,Objects,teddy bear,der Teddybär,l'ours en peluche
1249,Objects,thimble,der Fingerhut,le dé à coudre
1250,Objects,tobacco,der Tabak,le tabac
1251,Objects,toilet paper,das Toilettenpapier,le papier toilette
1252,Objects,torch,die Taschenlampe,la lampe de poche
1253,Objects,towel,das Handtuch,la serviette
1254,Objects,tripod,das Stativ,le trépied
1255,Objects,umbrella,der Regenschirm,le parapluie
1256,Objects,vase,die Vase,le vase
1257,Objects,walking stick,der Spazierstock,la canne
1258,Objects,water pipe,die Wasserpfeife,le narguilé
1259,Objects,watering can,die Gießkanne,l'arrosoir
1260,Objects,wreath,der Kranz,la couronne
1261,Education,archeology,die Archäologie,l'archéologie
1262,Education,atom,das Atom,l'atome
1263,Education,board,die Tafel,le tableau
1264,Education,calculation,die Berechnung,le calcul
1265,Education,calculator,der Taschenrechner,la calculatrice
1266,Education,certificate,die Urkunde,le document officiel
1267,Education,chalk,die Kreide,la craie
1268,Education,class,die Klasse,la classe
1269,Education,compass,der Zirkel,le compas
1270,Education,compass1,der Zirkel,le compas
1271,Education,country,das Land,le pays
1272,Education,course,der Kurs,cours
1273,Education,diploma,das Diplom,le diplôme
1274,Education,direction,die Himmelsrichtung,le point cardinal
1275,Education,education,die Bildung,l'enseignement
1276,Education,filter,der Filter,le filtre
1277,Education,formula,die Formel,la formule
1278,Education,geography,die Geographie,la géographie
1279,Education,grammar,die Grammatik,la grammaire
1280,Education,knowledge,das Wissen,le savoir
1281,Education,language,die Sprache,la langue
1282,Education,lesson,der Unterricht,la leçon
1283,Education,library,die Bibliothek,la bibliothèque
1284,Education,literature,die Literatur,la littérature
1285,Education,mathematics,die Mathematik,les mathématiques
1286,Education,microscope,das Mikroskop,le microscope
1287,Education,number,die Zahl,le nombre
1288,Education,number1,die Zahl,le nombre
1289,Education,pressure,der Druck,la pression
1290,Education,prism,das Prisma,le prisme
1291,Education,professor,der Professor,le professeur
1292,Education,pyramid,die Pyramide,la pyramide
1293,Education,radioactivity,die Radioaktivität,la radioactivité
1294,Education,scales,die Waage,la balance
1295,Education,space,der Weltraum,l'espace
1296,Education,statistics,die Statistik,la statistique
1297,Education,studies,das Studium,les études
1298,Education,syllable,die Silbe,la syllabe
1299,Education,table,die Tabelle,le tableau
1300,Education,translation,die Übersetzung,la traduction
1301,Education,triangle,das Dreieck,le triangle
1302,Education,umlaut,der Umlaut,le tréma
1303,Education,university,die Universität,l'université
1304,Education,world map,die Weltkarte,le planisphère
1305,Body,arm,der Arm,le bras
1306,Body,back,der Rücken,le dos
1307,Body,bald head,die Glatze,la tête chauve
1308,Body,beard,der Bart,la barbe
1309,Body,blood,das Blut,le sang
1310,Body,bone,der Knochen,l'os
1311,Body,bottom,der Popo,les fesses
1312,Body,braid,der Zopf,la tresse
1313,Body,brain,das Gehirn,le cerveau
1314,Body,breast,die Brust,le sein
1315,Body,ear,das Ohr,l'oreille
1316,Body,eye,das Auge,l'œil
1317,Body,face,das Gesicht,le visage
1318,Body,finger,der Finger,le doigt
1319,Body,fingerprint,der Fingerabdruck,l'empreinte digitale
1320,Body,fist,die Faust,le poing
1321,Body,foot,der Fuß,le pied
1322,Body,hair,das Haar,les cheveux
1323,Body,haircut,die Frisur,la coiffure
1324,Body,hand,die Hand,la main
1325,Body,head,der Kopf,la tête
1326,Body,heart,das Herz,le cœur
1327,Body,index finger,der Zeigefinger,l'index
1328,Body,kidney,die Niere,le rein
1329,Body,knee,das Knie,le genou
1330,Body,leg,das Bein,la jambe
1331,Body,lip,die Lippe,la lèvre
1332,Body,mouth,der Mund,la bouche
1333,Body,ringlet,die Haarlocke,la mèche de cheveux
1334,Body,skeleton,das Skelett,le squelette
1335,Body,skin,die Haut,la peau
1336,Body,skull,der Schädel,le crâne
1337,Body,tattoo,die Tätowierung,le tatouage
1338,Body,throat,der Hals,la gorge
1339,Body,thumb,der Daumen,le pouce
1340,Body,toe,der Zeh,l'orteil
1341,Body,tongue,die Zunge,la langue
1342,Body,tooth,der Zahn,la dent
1343,Body,wig,die Perücke,la perruque
1344,Nature,arc,der Bogen,l'arc
1345,Nature,barn,der Stall,l'étable
1346,Nature,bay,die Bucht,la baie
1347,Nature,beach,der Strand,la plage
1348,Nature,bubble,die Blase,la bulle
1349,Nature,cave,die Höhle,la grotte
1350,Nature,farm,der Bauernhof,la ferme
1351,Nature,fire,das Feuer,le feu
1352,Nature,footprint,die Spur,la trace
1353,Nature,globe,der Globus,le globe
1354,Nature,harvest,die Ernte,la récolte
1355,Nature,hay bales,der Heuballen,la balle de foin
1356,Nature,lake,der See,le lac
1357,Nature,leaf,das Blatt,la feuille
1358,Nature,mountain,der Berg,la montagne
1359,Nature,ocean,der Ozean,l'océan
1360,Nature,panorama,das Panorama,le panorama
1361,Nature,rock,der Felsen,le rocher
1362,Nature,spring,die Quelle,la source
1363,Nature,swamp,der Sumpf,le marais
1364,Nature,tree,der Baum,l'arbre
1365,Nature,tree trunk,der Baumstamm,le tronc d'arbre
1366,Nature,valley,das Tal,la vallée
1367,Nature,view,die Aussicht,le point de vue
1368,Nature,water jet,der Wasserstrahl,le jet d'eau
1369,Nature,waterfall,der Wasserfall,la chute d'eau
1370,Nature,wave,die Welle,la vague
1371,Finances,ATM,der Geldautomat,le distributeur de billets
1372,Finances,account,das Konto,le compte en banque
1373,Finances,bank,die Bank,la banque
1374,Finances,bill,der Geldschein,le billet de banque
1375,Finances,check,der Scheck,le chèque
1376,Finances,checkout,die Kasse,la caisse
1377,Finances,coin,die Münze,la pièce de monnaie
1378,Finances,currency,die Währung,la monnaie
1379,Finances,diamond,der Diamant,le diamant
1380,Finances,dollar,der Dollar,le dollar
1381,Finances,donation,die Spende,le don
1382,Finances,euro,der Euro,l'euro
1383,Finances,exchange rate,der Wechselkurs,le taux de change
1384,Finances,gold,das Gold,l'or
1385,Finances,luxury,der Luxus,le luxe
1386,Finances,market price,der Börsenkurs,le cours de la bourse
1387,Finances,membership,die Mitgliedschaft,l'adhésion
1388,Finances,money,das Geld,l'argent
1389,Finances,percentage,das Prozent,le pourcentage
1390,Finances,piggy bank,das Sparschwein,la tirelire
1391,Finances,price tag,das Preisschild,l'étiquette de prix
1392,Finances,purse,der Geldbeutel,le porte-monnaie
1393,Finances,receipt,die Quittung,la facture
1394,Finances,stock exchange,die Börse,la bourse
1395,Finances,trade,der Handel,le commerce
1396,Finances,treasure,der Schatz,le trésor
1397,Finances,wallet,das Portemonnaie,le porte-monnaie
1398,Finances,wealth,der Reichtum,la richesse
1399,Furniture,armchair,der Sessel,le fauteuil
1400,Furniture,bed,das Bett,le lit
1401,Furniture,bedding,das Bettzeug,la literie
1402,Furniture,bookshelf,das Bücherregal,la bibliothèque
1403,Furniture,carpet,der Teppich,le tapis
1404,Furniture,chair,der Stuhl,la chaise
1405,Furniture,chest of drawers,die Kommode,la commode
1406,Furniture,cradle,die Wiege,le berceau
1407,Furniture,cupboard,der Schrank,l'armoire
1408,Furniture,curtain,der Vorhang,le rideau
1409,Furniture,curtain1,der Vorhang,le rideau
1410,Furniture,desk,der Schreibtisch,le bureau
1411,Furniture,fan,der Ventilator,le ventilateur
1412,Furniture,mat,die Matte,la natte
1413,Furniture,playpen,der Laufstall,le parc pour bébé
1414,Furniture,rocking chair,der Schaukelstuhl,le fauteuil à bascule
1415,Furniture,safe,der Safe,le coffre-fort
1416,Furniture,seat,der Sitz,le siège
1417,Furniture,shelf,das Regal,l'étagère
1418,Furniture,side table,der Beistelltisch,la table de chevet
1419,Furniture,sofa,das Sofa,le canapé
1420,Furniture,stool,der Hocker,le tabouret
1421,Furniture,table,der Tisch,la table
1422,Furniture,table lamp,die Tischlampe,la lampe de table
1423,Furniture,wastepaper basket,der Mülleimer,la poubelle
1424,Religion,Easter,das Osterfest,la fête de Pâques
1425,Religion,Easter egg,das Osterei,l'œuf de Pâques
1426,Religion,angel,der Engel,l'ange
1427,Religion,bell,die Glocke,la cloche
1428,Religion,bible,die Bibel,la bible
1429,Religion,bishop,der Bischof,l'évêque
1430,Religion,blessing,der Segen,la bénédiction
1431,Religion,Buddhism,der Buddhismus,le bouddhisme
1432,Religion,Christianity,das Christentum,le christianisme
1433,Religion,Christmas gift,das Weihnachtsgeschenk,le cadeau de Noël
1434,Religion,Christmas tree,der Weihnachtsbaum,l'arbre de Noël
1435,Religion,church,die Kirche,l'église
1436,Religion,coffin,der Sarg,le cercueil
1437,Religion,creation,die Schöpfung,la création
1438,Religion,crucifix,das Kruzifix,le crucifix
1439,Religion,devil,der Teufel,le diable
1440,Religion,god,der Gott,le dieu
1441,Religion,Hinduism,der Hinduismus,l'hindouisme
1442,Religion,Islam,der Islam,l'islam
1443,Religion,Judaism,das Judentum,le judaïsme
1444,Religion,meditation,die Meditation,la méditation
1445,Religion,mummy,die Mumie,la momie
1446,Religion,Muslim,der Moslem,le musulman
1447,Religion,pope,der Papst,le pape
1448,Religion,prayer,das Gebet,la prière
1449,Religion,priest,der Priester,le prêtre
1450,Religion,religion,Religion -,Religion -
1451,Religion,service,der Gottesdienst,l'office religieux / la messe
1452,Religion,synagogue,die Synagoge,la synagogue
1453,Religion,temple,der Tempel,le temple
1454,Religion,tomb,die Grabstätte,le tombeau
1455,Plants,bamboo,der Bambus,le bambou
1456,Plants,blossom,die Blüte,la fleur
1457,Plants,bouquet of flowers,der Blumenstrauß,le bouquet de fleurs
1458,Plants,branch,der Zweig,la branche
1459,Plants,bud,die Knospe,le bourgeon
1460,Plants,cactus,der Kaktus,le cactus
1461,Plants,clover,der Klee,le trèfle
1462,Plants,cone,der Zapfen,la pomme de pin
1463,Plants,cornflower,die Kornblume,le bleuet
1464,Plants,crocus,der Krokus,le crocus
1465,Plants,daffodil,die Osterglocke,la jonquille
1466,Plants,daisy,die Margerite,la marguerite
1467,Plants,dandelion,der Löwenzahn,le pissenlit
1468,Plants,flower,die Blume,la fleur
1469,Plants,foliage,das Laub,le feuillage
1470,Plants,grain,das Getreide,les céréales
1471,Plants,grass,das Gras,l'herbe
1472,Plants,growth,das Wachstum,la croissance
1473,Plants,hyacinth,die Hyazinthe,la jacinthe
1474,Plants,lawn,der Rasen,le gazon
1475,Plants,lily,die Lilie,le lys
1476,Plants,linseed,der Leinsamen,la graine de lin
1477,Plants,mushroom,der Pilz,le champignon
1478,Plants,olive tree,der Olivenbaum,l'olivier
1479,Plants,palm tree,die Palme,le palmier
1480,Plants,pansy,das Stiefmütterchen,la pensée
1481,Plants,peach tree,der Pfirsichbaum,le pêcher
1482,Plants,plant,die Pflanze,la plante
1483,Plants,poppy,der Mohn,le coquelicot
1484,Plants,root,die Wurzel,la racine
1485,Plants,rose,die Rose,la rose
1486,Plants,seed,der Samen,la graine
1487,Plants,snowdrop,das Schneeglöckchen,le perce-neige
1488,Plants,sunflower,die Sonnenblume,le tournesol
1489,Plants,thorn,der Dorn,l'épine
1490,Plants,trunk,der Stamm,le tronc
1491,Plants,tulip,die Tulpe,la tulipe
1492,Plants,water lily,die Seerose,le nénuphar
1493,Plants,wheat,der Weizen,le blé
1494,Abstract terms,administration,die Verwaltung,l'administration
1495,Abstract terms,advertising,die Reklame,la publicité
1496,Abstract terms,arrow,der Pfeil,la flèche
1497,Abstract terms,ban,das Verbot,l'interdiction
1498,Abstract terms,career,die Karriere,la carrière
1499,Abstract terms,center,die Mitte,le milieu
1500,Abstract terms,choice,die Wahl,le choix
1501,Abstract terms,collaboration,die Zusammenarbeit,la collaboration
1502,Abstract terms,color,die Farbe,la couleur
1503,Abstract terms,contact,der Kontakt,le contact
1504,Abstract terms,danger,die Gefahr,le danger
1505,Abstract terms,declaration of love,die Liebeserklärung,la déclaration d'amour
1506,Abstract terms,decline,der Verfall,le déclin
1507,Abstract terms,definition,die Definition,la définition
1508,Abstract terms,difference,der Unterschied,la différence
1509,Abstract terms,difficulty,die Schwierigkeit,la difficulté
1510,Abstract terms,direction,die Richtung,la direction
1511,Abstract terms,discovery,die Entdeckung,la découverte
1512,Abstract terms,disorder,die Unordnung,le désordre
1513,Abstract terms,distance,die Ferne,le lointain
1514,Abstract terms,distance1,die Ferne,le lointain
1515,Abstract terms,diversity,die Vielfalt,la diversité
1516,Abstract terms,effort,die Mühe,l'effort
1517,Abstract terms,exploration,die Erforschung,l'exploration
1518,Abstract terms,fall,der Sturz,la chute
1519,Abstract terms,force,die Kraft,la force
1520,Abstract terms,fragrance,der Duft,le parfum
1521,Abstract terms,freedom,die Freiheit,la liberté
1522,Abstract terms,ghost,das Gespenst,le fantôme
1523,Abstract terms,half,die Hälfte,la moitié
1524,Abstract terms,height,die Höhe,la hauteur
1525,Abstract terms,help,die Hilfe,l'aide
1526,Abstract terms,hiding place,das Versteck,la cachette
1527,Abstract terms,homeland,die Heimat,la patrie
1528,Abstract terms,hygiene,die Sauberkeit,l'hygiène
1529,Abstract terms,idea,die Idee,l'idée
1530,Abstract terms,illusion,die Illusion,l'illusion
1531,Abstract terms,imagination,die Fantasie,l'imagination
1532,Abstract terms,intelligence,die Intelligenz,l'intelligence
1533,Abstract terms,invitation,die Einladung,l'invitation
1534,Abstract terms,justice,die Gerechtigkeit,la justice
1535,Abstract terms,light,das Licht,la lumière
1536,Abstract terms,look,der Blick,le regard
1537,Abstract terms,loss,der Verlust,la perte
1538,Abstract terms,magnification,die Vergrößerung,l'agrandissement
1539,Abstract terms,mistake,der Fehler,l'erreur
1540,Abstract terms,murder,der Mord,l'assassinat
1541,Abstract terms,nation,die Nation,la nation
1542,Abstract terms,novelty,die Neuheit,la nouveauté
1543,Abstract terms,option,die Möglichkeit,la possibilité
1544,Abstract terms,patience,die Geduld,la patience
1545,Abstract terms,planning,die Planung,la planification
1546,Abstract terms,problem,das Problem,le problème
1547,Abstract terms,protection,der Schutz,la protection
1548,Abstract terms,reflection,die Spiegelung,le reflet
1549,Abstract terms,republic,die Republik,la république
1550,Abstract terms,risk,das Risiko,le risque
1551,Abstract terms,safety,die Sicherheit,la sécurité
1552,Abstract terms,secret,das Geheimnis,le secret
1553,Abstract terms,sex,das Geschlecht,le sexe
1554,Abstract terms,shadow,der Schatten,l'ombre
1555,Abstract terms,size,die Größe,la taille
1556,Abstract terms,solidarity,die Solidarität,la solidarité
1557,Abstract terms,success,der Erfolg,le succès
1558,Abstract terms,support,die Unterstützung,le support
1559,Abstract terms,tradition,die Tradition,la tradition
1560,Abstract terms,weight,das Gewicht,le poids
1561,Kitchen appliances,bowl,die Schüssel,le bol
1562,Kitchen appliances,coffee machine,die Kaffeemaschine,la machine à café
1563,Kitchen appliances,cooking pot,der Kochtopf,la casserole
1564,Kitchen appliances,cutlery,날붙이류,столовый прибор
1565,Kitchen appliances,cutting board,das Schneidebrett,la planche à découper
1566,Kitchen appliances,dishes,das Geschirr,la vaisselle
1567,Kitchen appliances,dishwasher,die Geschirrspülmaschine,le lave-vaisselle
1568,Kitchen appliances,dust bin,der Abfalleimer,la poubelle
1569,Kitchen appliances,electric stove,der Elektroherd,la cuisinière électrique
1570,Kitchen appliances,faucet,die Armatur,la robinetterie
1571,Kitchen appliances,fondue,das Fondue,la fondue
1572,Kitchen appliances,fork,die Gabel,la fourchette
1573,Kitchen appliances,frying pan,die Bratpfanne,la poêle
1574,Kitchen appliances,garlic press,die Knoblauchpresse,le presse-ail
1575,Kitchen appliances,gas stove,der Gasherd,la gazinière
1576,Kitchen appliances,grill,der Grill,le barbecue
1577,Kitchen appliances,knife,das Messer,le couteau
1578,Kitchen appliances,ladle,der Schöpflöffel,la louche
1579,Kitchen appliances,microwave,die Mikrowelle,le four micro-ondes
1580,Kitchen appliances,napkin,die Serviette,la serviette
1581,Kitchen appliances,nutcracker,der Nussknacker,le casse-noix
1582,Kitchen appliances,pan,die Pfanne,la poêle
1583,Kitchen appliances,plate,der Teller,l'assiette
1584,Kitchen appliances,refrigerator,der Kühlschrank,le réfrigérateur
1585,Kitchen appliances,spoon,der Löffel,la cuillère
1586,Kitchen appliances,tablecloth,die Tischdecke,la nappe
1587,Kitchen appliances,toaster,der Toaster,le grille-pain
1588,Kitchen appliances,tray,das Tablett,le plateau
1589,Kitchen appliances,washing machine,die Waschmaschine,la machine à laver
1590,Kitchen appliances,whisk,der Schneebesen,le fouet
1591,Materials,brass,das Messing,le cuivre
1592,Materials,cement,der Zement,le ciment
1593,Materials,ceramic,die Keramik,la céramique
1594,Materials,cloth,das Tuch,le tissu
1595,Materials,cloth1,das Tuch,le tissu
1596,Materials,cotton,die Baumwolle,le coton
1597,Materials,crystal,das Kristall,le cristal
1598,Materials,dirt,der Schmutz,la saleté
1599,Materials,glue,der Leim,la colle
1600,Materials,leather,das Leder,le cuir
1601,Materials,metal,das Metall,le métal
1602,Materials,oil,das Öl,maslo\
1603,Materials,powder,das Pulver,la poudre
1604,Materials,salt,das Salz,le sel
1605,Materials,sand,der Sand,le sable
1606,Materials,scrap,der Schrott,la ferraille
1607,Materials,silver,das Silber,l'argent
1608,Materials,stone,der Stein,la pierre
1609,Materials,straw,das Stroh,la paille
1610,Materials,wood,das Holz,le bois
1611,Materials,wool,die Wolle,la laine
1612,Health,ambulance,der Krankenwagen,l'ambulance
1613,Health,bandage,der Verband,le bandage
1614,Health,birth,die Geburt,la naissance
1615,Health,blood pressure,der Blutdruck,la pression sanguine
1616,Health,body care,die Körperpflege,les soins du corps
1617,Health,cold,der Schnupfen,le rhume
1618,Health,cream,die Creme,la crème
1619,Health,crutch,die Krücke,la béquille
1620,Health,examination,die Untersuchung,l'examen
1621,Health,exhaustion,die Erschöpfung,l'épuisement
1622,Health,face mask,die Gesichtsmaske,le masque de beauté
1623,Health,first-aid box,der Verbandskasten,la trousse de secours
1624,Health,healing,die Heilung,la guérison
1625,Health,health,die Gesundheit,la santé
1626,Health,hearing aid,das Hörgerät,la prothèse auditive
1627,Health,hospital,das Krankenhaus,l'hôpital
1628,Health,injection,die Spritze,l'injection
1629,Health,injury,die Verletzung,la blessure
1630,Health,makeup,das Makeup,le maquillage
1631,Health,massage,die Massage,le massage
1632,Health,medicine,die Medizin,la médecine
1633,Health,medicine1,die Medizin,la médecine
1634,Health,mortar,der Mörser,le mortier
1635,Health,mouth guard,der Mundschutz,le protège-dents
1636,Health,nail clipper,der Nagelknipser,le coupe-ongles
1637,Health,obesity,das Übergewicht,l'obésité
1638,Health,operation,die Operation,l'opération
1639,Health,pain,der Schmerz,la douleur
1640,Health,perfume,das Parfüm,le parfum
1641,Health,pill,die Pille,la pilule
1642,Health,pregnancy,die Schwangerschaft,la grossesse
1643,Health,razor,der Rasierer,le rasoir
1644,Health,shave,die Rasur,le rasage
1645,Health,shaving brush,der Rasierpinsel,le blaireau
1646,Health,sleep,der Schlaf,le sommeil
1647,Health,smoker,der Raucher,le fumeur
1648,Health,smoking ban,das Rauchverbot,l'interdiction de fumer
1649,Health,sunscreen,die Sonnencreme,la crème solaire
1650,Health,swab,das Wattestäbchen,le coton-tige
1651,Health,toothbrush,die Zahnbürste,la brosse à dents
1652,Health,toothpaste,die Zahnpasta,le dentifrice
1653,Health,toothpick,der Zahnstocher,le cure-dent
1654,Health,victim,das Opfer,la victime
1655,Health,weighing scale,die Personenwaage,le pèse-personne
1656,Health,wheelchair,der Rollstuhl,le fauteuil roulant
1657,Car,air filter,der Luftfilter,le filtre à air
1658,Car,breakdown,die Panne,la panne
1659,Car,camper,das Wohnmobil,avtomobil'\
1660,Car,car battery,die Autobatterie,la batterie de voiture
1661,Car,child seat,der Kindersitz,le siège-enfant
1662,Car,damage,der Schaden,les dégâts
1663,Car,diesel,der Diesel,le diesel
1664,Car,exhaust pipe,der Auspuff,le pot d'échappement
1665,Car,flat tire,der Platten,la crevaison
1666,Car,gas station,die Tankstelle,la station service
1667,Car,headlight,der Scheinwerfer,le phare
1668,Car,hood,die Motorhaube,le capot
1669,Car,jack,der Wagenheber,le cric
1670,Car,jerry can,der Reservekanister,le jerricane
1671,Car,junkyard,der Schrottplatz,la casse
1672,Car,rear,das Heck,l'arrière
1673,Car,rear light,das Rücklicht,le feu arrière
1674,Car,rear view mirror,der Rückspiegel,le rétroviseur
1675,Car,ride,die Fahrt,le trajet
1676,Car,rim,die Felge,la jante
1677,Car,spark plug,die Zündkerze,la bougie d'allumage
1678,Car,tachometer,der Tacho,le compte-tours
1679,Car,ticket,der Strafzettel,la contravention
1680,Car,tire,der Reifen,le pneu
1681,Car,towing service,der Abschleppdienst,la fourrière
1682,Car,vintage car,der Oldtimer,la voiture de collection
1683,Car,wheel,das Rad,la roue
1684,Arts,applause,der Beifall,les applaudissements
1685,Arts,art,die Kunst,l'art
1686,Arts,bow,die Verbeugung,le salut
1687,Arts,brush,der Pinsel,le pinceau
1688,Arts,coloring book,das Malbuch,le livre de coloriage
1689,Arts,dancer,die Tänzerin,la danseuse
1690,Arts,drawing,die Zeichnung,le dessin
1691,Arts,gallery,die Galerie,la galerie
1692,Arts,glass window,das Glasfenster,la fenêtre
1693,Arts,graffiti,das Graffiti,le graffiti
1694,Arts,handicraft,das Kunsthandwerk,l'artisanat
1695,Arts,mosaic,das Mosaik,la mosaïque
1696,Arts,mural,die Wandmalerei,la fresque
1697,Arts,museum,das Museum,le musée
1698,Arts,performance,die Aufführung,la représentation
1699,Arts,picture,das Bild,l'image
1700,Arts,poem,das Gedicht,le poème
1701,Arts,sculpture,die Skulptur,la sculpture
1702,Arts,song,das Lied,la chanson
1703,Arts,statue,die Statue,la statue
1704,Arts,water color,die Wasserfarbe,la peinture à l'eau
1705,City,airport,der Flughafen,l'aéroport
1706,City,apartment building,das Wohnhaus,l'immeuble
1707,City,bench,die Bank,la banque
1708,City,big city,die Großstadt,la grande ville
1709,City,bike path,der Radweg,la piste cyclable
1710,City,boat harbor,der Bootshafen,le port de plaisance
1711,City,capital,die Hauptstadt,la capitale
1712,City,carillon,das Glockenspiel,le carillon
1713,City,cemetery,der Friedhof,le cimetière
1714,City,cinema,das Kino,le cinéma
1715,City,city,die Stadt,la ville
1716,City,city map,der Stadtplan,le plan de ville
1717,City,crime,die Kriminalität,le criminalité
1718,City,demonstration,die Demonstration,la manifestation
1719,City,fair,die Messe,la foire
1720,City,fire brigade,die Feuerwehr,les sapeurs-pompiers
1721,City,fountain,der Springbrunnen,la fontaine
1722,City,garbage,der Abfall,le déchet
1723,City,harbor / harbour,der Hafen,le port
1724,City,hotel,das Hotel,l'hôtel
1725,City,hydrant,der Hydrant,la bouche d'incendie
1726,City,landmark,das Wahrzeichen,le symbole
1727,City,mailbox,der Briefkasten,la boîte aux lettres
1728,City,neighborhood,die Nachbarschaft,le voisinage
1729,City,neon light,das Neonlicht,le néon
1730,City,nightclub,der Nachtclub,la boîte de nuit
1731,City,old town,die Altstadt,la vieille ville
1732,City,opera,die Oper,l'opéra
1733,City,park,der Park,le parc
1734,City,park bench,die Parkbank,le banc de parc
1735,City,parking lot,der Parkplatz,le parking
1736,City,phone booth,die Telefonzelle,la cabine téléphonique
1737,City,postal code (ZIP),die Postleitzahl (PLZ),le code postal (C.P.)
1738,City,prison,das Gefängnis,la prison
1739,City,pub,die Kneipe,le pub
1740,City,sights,die Sehenswürdigkeiten,les sites touristiques
1741,City,skyline,die Skyline,les contours de la ville
1742,City,street light,die Straßenlaterne,le réverbère
1743,City,tourist office,das Touristenbüro,l'office de tourisme
1744,City,tower,der Turm,la tour
1745,City,tunnel,der Tunnel,le tunnel
1746,City,vehicle,das Fahrzeug,le véhicule
1747,City,village,das Dorf,le village
1748,City,water tower,der Wasserturm,le château d'eau
1749,Weather,barometer,das Barometer,le baromètre
1750,Weather,cloud,die Wolke,le nuage
1751,Weather,cold,die Kälte,le froid
1752,Weather,crescent,der Halbmond,le croissant de lune
1753,Weather,darkness,die Dunkelheit,l'obscurité
1754,Weather,drought,die Dürre,la sécheresse
1755,Weather,earth,die Erde,la terre
1756,Weather,fog,der Nebel,le brouillard
1757,Weather,frost,der Frost,le gel
1758,Weather,glaze,das Glatteis,le verglas
1759,Weather,heat,die Hitze,la chaleur
1760,Weather,hurricane,der Hurrikan,l'ouragan
1761,Weather,icicle,der Eiszapfen,la stalactite
1762,Weather,lightning,der Blitz,la foudre
1763,Weather,meteor,der Meteor,le/la météorite
1764,Weather,moon,der Mond,la lune
1765,Weather,rainbow,der Regenbogen,l'arc-en-ciel
1766,Weather,raindrop,der Regentropfen,la goutte d'eau
1767,Weather,snow,der Schnee,la neige
1768,Weather,snowflake,die Schneeflocke,le flocon de neige
1769,Weather,snowman,der Schneemann,le bonhomme de neige
